Citation,Year,Meta-Analysis,Journal
Stat Med. 2022 Jan 30;41(2):374-389. doi: 10.1002/sim.9242. Epub 2021 Nov 3.,2022,0,Stat Med
Stat Med. 1996 Feb 28;15(4):389-428. doi: 10.1002/(SICI)1097-0258(19960229)15:4<389::AID-SIM285>3.0.CO;2-J.,1996,0,Stat Med
Stat Med. 2022 May 30;41(12):2276-2290. doi: 10.1002/sim.9354. Epub 2022 Feb 22.,2022,1,Stat Med
Stat Med. 2021 Mar 15;40(6):1553-1573. doi: 10.1002/sim.8859. Epub 2020 Dec 27.,2021,1,Stat Med
Stat Med. 2021 Feb 28;40(5):1101-1120. doi: 10.1002/sim.8822. Epub 2020 Nov 26.,2021,0,Stat Med
Stat Med. 1994 Oct 15-30;13(19-20):2107-25. doi: 10.1002/sim.4780131919.,1994,0,Stat Med
Stat Med. 2021 Mar 15;40(6):1498-1518. doi: 10.1002/sim.8855. Epub 2020 Dec 27.,2021,1,Stat Med
Stat Med. 1997 Nov 30;16(22):2529-42. doi: 10.1002/(sici)1097-0258(19971130)16:22<2529::aid-sim692>3.0.co;2-j.,1997,0,Stat Med
Stat Med. 2021 Nov 10;40(25):5417-5433. doi: 10.1002/sim.9132. Epub 2021 Jul 8.,2021,0,Stat Med
Stat Med. 2021 Nov 10;40(25):5587-5604. doi: 10.1002/sim.9142. Epub 2021 Jul 30.,2021,1,Stat Med
Stat Med. 2011 Jul 10;30(15):1865-82. doi: 10.1002/sim.4237. Epub 2011 Apr 17.,2011,0,Stat Med
Stat Med. 2022 Apr 15;41(8):1525-1540. doi: 10.1002/sim.9303. Epub 2022 Jan 25.,2022,0,Stat Med
Stat Med. 1995 May 15-30;14(9-10):1099-111; discussion 1113-6. doi: 10.1002/sim.4780140930.,1995,0,Stat Med
Stat Med. 2004 May 30;23(10):1631-60. doi: 10.1002/sim.1742.,2004,0,Stat Med
Stat Med. 2023 Jul 30;42(17):3032-3049. doi: 10.1002/sim.9766. Epub 2023 May 9.,2023,0,Stat Med
Stat Med. 2020 Dec 20;39(29):4519-4537. doi: 10.1002/sim.8738. Epub 2020 Sep 10.,2020,1,Stat Med
Stat Med. 2020 Dec 10;39(28):4147-4168. doi: 10.1002/sim.8716. Epub 2020 Aug 17.,2020,0,Stat Med
Stat Med. 2023 Jan 30;42(2):146-163. doi: 10.1002/sim.9606. Epub 2022 Nov 23.,2023,0,Stat Med
Stat Med. 1998 Apr 30;17(8):909-44. doi: 10.1002/(sici)1097-0258(19980430)17:8<909::aid-sim753>3.0.co;2-o.,1998,0,Stat Med
Stat Med. 2000 Dec 15;19(23):3171-91. doi: 10.1002/1097-0258(20001215)19:23<3171::aid-sim619>3.0.co;2-t.,2000,0,Stat Med
Stat Med. 2023 Aug 30;42(19):3333-3352. doi: 10.1002/sim.9808. Epub 2023 Jun 5.,2023,1,Stat Med
Stat Med. 2020 Sep 30;39(22):2883-2900. doi: 10.1002/sim.8580. Epub 2020 Jun 3.,2020,1,Stat Med
Stat Med. 2020 Dec 30;39(30):4667-4686. doi: 10.1002/sim.8747. Epub 2020 Sep 15.,2020,0,Stat Med
Stat Med. 2020 Aug 30;39(19):2477-2489. doi: 10.1002/sim.8550. Epub 2020 Apr 27.,2020,0,Stat Med
Stat Med. 2021 Jan 30;40(2):382-402. doi: 10.1002/sim.8780. Epub 2020 Oct 22.,2021,0,Stat Med
Stat Med. 1997 May 15;16(9):1031-9. doi: 10.1002/(sici)1097-0258(19970515)16:9<1031::aid-sim519>3.0.co;2-6.,1997,0,Stat Med
Stat Med. 2016 Jul 10;35(15):2561-73. doi: 10.1002/sim.6927. Epub 2016 Mar 10.,2016,0,Stat Med
Stat Med. 2000 Mar 30;19(6):861-77. doi: 10.1002/(sici)1097-0258(20000330)19:6<861::aid-sim407>3.0.co;2-f.,2000,0,Stat Med
Stat Med. 2023 May 20;42(11):1699-1721. doi: 10.1002/sim.9695. Epub 2023 Mar 4.,2023,1,Stat Med
Stat Med. 1998 May 30;17(10):1073-102. doi: 10.1002/(sici)1097-0258(19980530)17:10<1073::aid-sim789>3.0.co;2-p.,1998,0,Stat Med
Stat Med. 1997 May 15;16(9):965-80. doi: 10.1002/(sici)1097-0258(19970515)16:9<965::aid-sim509>3.0.co;2-o.,1997,0,Stat Med
Stat Med. 2013 Dec 30;32(30):5458-68. doi: 10.1002/sim.5979. Epub 2013 Sep 17.,2013,0,Stat Med
Stat Med. 2015 Jun 30;34(14):2181-95. doi: 10.1002/sim.6141. Epub 2014 Mar 14.,2015,0,Stat Med
Stat Med. 2021 Dec 30;40(30):6873-6884. doi: 10.1002/sim.9215. Epub 2021 Oct 10.,2021,0,Stat Med
Stat Med. 2011 Sep 10;30(20):2511-35. doi: 10.1002/sim.4284. Epub 2011 Jul 5.,2011,0,Stat Med
Stat Med. 2023 Jul 30;42(17):2887-2913. doi: 10.1002/sim.9757. Epub 2023 May 2.,2023,1,Stat Med
Stat Med. 1993 Mar;12(5-6):425-31. doi: 10.1002/sim.4780120505.,1993,0,Stat Med
Stat Med. 2008 Sep 10;27(20):4016-29. doi: 10.1002/sim.3244.,2008,0,Stat Med
Stat Med. 1998 Mar 15-Apr 15;17(5-7):653-66. doi: 10.1002/(sici)1097-0258(19980315/15)17:5/7<653::aid-sim812>3.0.co;2-m.,1998,0,Stat Med
Stat Med. 2023 Feb 20;42(4):457-469. doi: 10.1002/sim.9626. Epub 2022 Dec 20.,2023,1,Stat Med
Stat Med. 1998 Aug 15-30;17(15-16):1675-90. doi: 10.1002/(sici)1097-0258(19980815/30)17:15/16<1675::aid-sim970>3.0.co;2-c.,1998,0,Stat Med
Stat Med. 2021 Nov 10;40(25):5642-5656. doi: 10.1002/sim.9145. Epub 2021 Jul 21.,2021,1,Stat Med
Stat Med. 2002 Feb 15;21(3):347-58. doi: 10.1002/sim.1021.,2002,0,Stat Med
Stat Med. 2020 Dec 30;39(30):4885-4911. doi: 10.1002/sim.8759. Epub 2020 Oct 4.,2020,0,Stat Med
Stat Med. 2022 Feb 10;41(3):595-611. doi: 10.1002/sim.9276. Epub 2021 Dec 9.,2022,1,Stat Med
Stat Med. 2021 Jul 10;40(15):3582-3603. doi: 10.1002/sim.8983. Epub 2021 Apr 12.,2021,1,Stat Med
Stat Med. 2021 Apr 15;40(8):1947-1959. doi: 10.1002/sim.8881. Epub 2021 Jan 19.,2021,0,Stat Med
Stat Med. 1998 Jan 15;17(1):1-25. doi: 10.1002/(sici)1097-0258(19980115)17:1<1::aid-sim728>3.0.co;2-e.,1998,0,Stat Med
Stat Med. 1993 Apr 30;12(8):717-36. doi: 10.1002/sim.4780120802.,1993,0,Stat Med
Stat Med. 1994 Feb 28;13(4):301-41. doi: 10.1002/sim.4780130402.,1994,0,Stat Med
Stat Med. 2023 Jul 10;42(15):2661-2691. doi: 10.1002/sim.9742. Epub 2023 Apr 10.,2023,0,Stat Med
Stat Med. 1998 Aug 15-30;17(15-16):1851-8; discussion 1859-62. doi: 10.1002/(sici)1097-0258(19980815/30)17:15/16<1851::aid-sim987>3.0.co;2-z.,1998,0,Stat Med
Stat Med. 1998 Aug 15-30;17(15-16):1863-92. doi: 10.1002/(sici)1097-0258(19980815/30)17:15/16<1863::aid-sim989>3.0.co;2-m.,1998,0,Stat Med
Stat Med. 2012 Sep 28;31(22):2400-13. doi: 10.1002/sim.4485. Epub 2012 May 17.,2012,0,Stat Med
Stat Med. 1998 Mar 15-Apr 15;17(5-7):711-24. doi: 10.1002/(sici)1097-0258(19980315/15)17:5/7<711::aid-sim816>3.0.co;2-h.,1998,0,Stat Med
Stat Med. 2020 Nov 10;39(25):3653-3683. doi: 10.1002/sim.8686. Epub 2020 Sep 1.,2020,0,Stat Med
Stat Med. 1998 Aug 15-30;17(15-16):1829-38. doi: 10.1002/(sici)1097-0258(19980815/30)17:15/16<1829::aid-sim985>3.0.co;2-k.,1998,0,Stat Med
Stat Med. 2005 Jul 15;24(13):1965-82. doi: 10.1002/sim.2078.,2005,0,Stat Med
Stat Med. 2021 Sep 10;40(20):4505-4521. doi: 10.1002/sim.9076. Epub 2021 May 26.,2021,1,Stat Med
Stat Med. 2004 Jan 15;23(1):3-19; discussion 159-62. doi: 10.1002/sim.1595.,2004,1,Stat Med
Stat Med. 2019 Jun 15;38(13):2428-2446. doi: 10.1002/sim.8120. Epub 2019 Mar 18.,2019,0,Stat Med
Stat Med. 1996 Jan 15;15(1):1-21. doi: 10.1002/(SICI)1097-0258(19960115)15:1<1::AID-SIM134>3.0.CO;2-E.,1996,0,Stat Med
Stat Med. 1997 Nov 30;16(22):2599-618. doi: 10.1002/(sici)1097-0258(19971130)16:22<2599::aid-sim734>3.0.co;2-9.,1997,0,Stat Med
Stat Med. 2001 Apr 30;20(8):1153-64. doi: 10.1002/sim.813.,2001,0,Stat Med
Stat Med. 2019 Jan 30;38(2):221-235. doi: 10.1002/sim.7957. Epub 2018 Sep 26.,2019,0,Stat Med
Stat Med. 1998 Sep 15;17(17):1923-42. doi: 10.1002/(sici)1097-0258(19980915)17:17<1923::aid-sim874>3.0.co;2-6.,1998,1,Stat Med
Stat Med. 1995 Jan 30;14(2):127-36. doi: 10.1002/sim.4780140205.,1995,0,Stat Med
Stat Med. 2021 Jul 20;40(16):3762-3778. doi: 10.1002/sim.8996. Epub 2021 Apr 27.,2021,1,Stat Med
Stat Med. 2023 Jul 20;42(16):2855-2872. doi: 10.1002/sim.9753. Epub 2023 Apr 25.,2023,0,Stat Med
Stat Med. 2022 Nov 10;41(25):4961-4981. doi: 10.1002/sim.9547. Epub 2022 Aug 5.,2022,1,Stat Med
Stat Med. 1998 Aug 15-30;17(15-16):1839-50; discussion 1859-62. doi: 10.1002/(sici)1097-0258(19980815/30)17:15/16<1839::aid-sim986>3.0.co;2-g.,1998,0,Stat Med
Stat Med. 2014 Oct 30;33(24):4170-85. doi: 10.1002/sim.6197. Epub 2014 May 20.,2014,0,Stat Med
Stat Med. 2007 Nov 20;26(26):4719-45. doi: 10.1002/sim.2891.,2007,0,Stat Med
Stat Med. 2014 Oct 30;33(24):4202-14. doi: 10.1002/sim.6223. Epub 2014 Jun 11.,2014,0,Stat Med
Stat Med. 2001 Feb 15;20(3):351-65. doi: 10.1002/1097-0258(20010215)20:3<351::aid-sim797>3.0.co;2-c.,2001,0,Stat Med
Stat Med. 2022 Oct 30;41(24):4822-4837. doi: 10.1002/sim.9538. Epub 2022 Aug 5.,2022,1,Stat Med
Stat Med. 2021 Feb 20;40(4):963-977. doi: 10.1002/sim.8813. Epub 2020 Nov 20.,2021,0,Stat Med
Stat Med. 1994 Aug 30;13(16):1619-34. doi: 10.1002/sim.4780131603.,1994,0,Stat Med
Stat Med. 2015 Jul 30;34(17):2481-96. doi: 10.1002/sim.6493. Epub 2015 Apr 29.,2015,1,Stat Med
Stat Med. 1993 Jun 15;12(11):1085. doi: 10.1002/sim.4780121108.,1993,0,Stat Med
Stat Med. 1995 Jul 15;14(13):1397-416. doi: 10.1002/sim.4780141302.,1995,0,Stat Med
Stat Med. 2020 Aug 30;39(19):2536-2555. doi: 10.1002/sim.8555. Epub 2020 May 11.,2020,1,Stat Med
Stat Med. 1996 Nov 15-30;15(21-22):2273-88. doi: 10.1002/(SICI)1097-0258(19961115)15:21<2273::AID-SIM448>3.0.CO;2-3.,1996,0,Stat Med
Stat Med. 2020 Oct 30;39(24):3329-3346. doi: 10.1002/sim.8668. Epub 2020 Jul 16.,2020,1,Stat Med
Stat Med. 2014 Feb 10;33(3):388-400. doi: 10.1002/sim.5920. Epub 2013 Jul 22.,2014,1,Stat Med
Stat Med. 2023 Jun 15;42(13):2029-2043. doi: 10.1002/sim.9550. Epub 2023 Feb 27.,2023,0,Stat Med
Stat Med. 1999 Jul 15;18(13):1587-603. doi: 10.1002/(sici)1097-0258(19990715)18:13<1587::aid-sim141>3.0.co;2-z.,1999,0,Stat Med
Stat Med. 2015 Feb 10;34(3):361-80. doi: 10.1002/sim.6350. Epub 2014 Nov 3.,2015,1,Stat Med
Stat Med. 2021 Nov 30;40(27):6150-6163. doi: 10.1002/sim.9176. Epub 2021 Sep 12.,2021,0,Stat Med
Stat Med. 2005 Jul 15;24(13):2053-67. doi: 10.1002/sim.2079.,2005,0,Stat Med
Stat Med. 2020 Dec 20;39(29):4439-4451. doi: 10.1002/sim.8733. Epub 2020 Aug 27.,2020,0,Stat Med
Stat Med. 1999 Sep 15-30;18(17-18):2257-70. doi: 10.1002/(sici)1097-0258(19990915/30)18:17/18<2257::aid-sim253>3.0.co;2-m.,1999,0,Stat Med
Stat Med. 1999 Aug 15;18(15):1961-71. doi: 10.1002/(sici)1097-0258(19990815)18:15<1961::aid-sim170>3.0.co;2-3.,1999,0,Stat Med
Stat Med. 2002 Feb 28;21(4):549-59. doi: 10.1002/sim.1001.,2002,0,Stat Med
Stat Med. 1998 Jan 30;17(2):127-42. doi: 10.1002/(sici)1097-0258(19980130)17:2<127::aid-sim756>3.0.co;2-r.,1998,0,Stat Med
Stat Med. 1996 Jun 30;15(12):1285-93; discussion 1295-7. doi: 10.1002/(SICI)1097-0258(19960630)15:12<1285::AID-SIM309>3.0.CO;2-0.,1996,0,Stat Med
Stat Med. 2023 Aug 30;42(19):3568-3592. doi: 10.1002/sim.9820. Epub 2023 Jun 22.,2023,0,Stat Med
Stat Med. 1996 Feb 15;15(3):263-71. doi: 10.1002/(SICI)1097-0258(19960215)15:3<263::AID-SIM165>3.0.CO;2-K.,1996,0,Stat Med
Stat Med. 2002 Sep 30;21(18):2613-22. doi: 10.1002/sim.1044.,2002,0,Stat Med
Stat Med. 1995 Oct 15;14(19):2131-41. doi: 10.1002/sim.4780141907.,1995,0,Stat Med
Stat Med. 1998 Mar 15-Apr 15;17(5-7):767-79. doi: 10.1002/(sici)1097-0258(19980315/15)17:5/7<767::aid-sim820>3.0.co;2-b.,1998,0,Stat Med
Stat Med. 1996 Jul 15;15(13):1447-58. doi: 10.1002/(SICI)1097-0258(19960715)15:13<1447::AID-SIM267>3.0.CO;2-V.,1996,0,Stat Med
Stat Med. 1998 Dec 30;17(24):2815-34. doi: 10.1002/(sici)1097-0258(19981230)17:24<2815::aid-sim110>3.0.co;2-8.,1998,1,Stat Med
Stat Med. 2001 Jun 30;20(12):1739-53. doi: 10.1002/sim.787.,2001,0,Stat Med
Stat Med. 1995 Apr 30;14(8):777-87. doi: 10.1002/sim.4780140807.,1995,0,Stat Med
Stat Med. 1994 Mar 15-Apr 15;13(5-7):431-46. doi: 10.1002/sim.4780130507.,1994,0,Stat Med
Stat Med. 1997 Sep 30;16(18):2063-79. doi: 10.1002/(sici)1097-0258(19970930)16:18<2063::aid-sim642>3.0.co;2-8.,1997,1,Stat Med
Stat Med. 2008 Jul 30;27(17):3366-81. doi: 10.1002/sim.3303.,2008,0,Stat Med
Stat Med. 1999 Jun 15;18(11):1419-33. doi: 10.1002/(sici)1097-0258(19990615)18:11<1419::aid-sim127>3.0.co;2-q.,1999,0,Stat Med
Stat Med. 1997 Jul 30;16(14):1551-71. doi: 10.1002/(sici)1097-0258(19970730)16:14<1551::aid-sim577>3.0.co;2-t.,1997,0,Stat Med
Stat Med. 1999 Jun 15;18(11):1387-400. doi: 10.1002/(sici)1097-0258(19990615)18:11<1387::aid-sim126>3.0.co;2-v.,1999,0,Stat Med
Stat Med. 2000 Oct 15;19(19):2657-74. doi: 10.1002/1097-0258(20001015)19:19<2657::aid-sim557>3.0.co;2-3.,2000,0,Stat Med
Stat Med. 1996 Aug 30;15(16):1729-38. doi: 10.1002/(SICI)1097-0258(19960830)15:16<1729::AID-SIM334>3.0.CO;2-M.,1996,0,Stat Med
Stat Med. 1994 Mar 15-Apr 15;13(5-7):417-29. doi: 10.1002/sim.4780130506.,1994,0,Stat Med
Stat Med. 2007 Sep 10;26(20):3700-21. doi: 10.1002/sim.2837.,2007,1,Stat Med
Stat Med. 2003 Feb 15;22(3):481-99. doi: 10.1002/sim.1350.,2003,0,Stat Med
Stat Med. 1995 Jun 30;14(12):1379-91. doi: 10.1002/sim.4780141210.,1995,0,Stat Med
Stat Med. 1999 Jul 30;18(14):1821-9; discussion 1831. doi: 10.1002/(sici)1097-0258(19990730)18:14<1821::aid-sim219>3.0.co;2-o.,1999,0,Stat Med
Stat Med. 1993 Apr 15;12(7):691-8. doi: 10.1002/sim.4780120708.,1993,0,Stat Med
Stat Med. 1996 Oct 15;15(19):2069-76. doi: 10.1002/(SICI)1097-0258(19961015)15:19<2069::AID-SIM347>3.0.CO;2-V.,1996,0,Stat Med
Stat Med. 2006 Sep 15;25(17):2886-910. doi: 10.1002/sim.2317.,2006,1,Stat Med
Stat Med. 1996 Aug 15;15(15):1687-93. doi: 10.1002/(SICI)1097-0258(19960815)15:15<1687::AID-SIM324>3.0.CO;2-S.,1996,0,Stat Med
Stat Med. 1993 Jul 30;12(14):1339-51. doi: 10.1002/sim.4780121406.,1993,0,Stat Med
Stat Med. 2001 Dec 30;20(24):3777-87. doi: 10.1002/sim.1171.,2001,0,Stat Med
Stat Med. 2007 Apr 30;26(9):2074-87. doi: 10.1002/sim.2671.,2007,0,Stat Med
Stat Med. 1998 Aug 15-30;17(15-16):1663-73. doi: 10.1002/(sici)1097-0258(19980815/30)17:15/16<1663::aid-sim969>3.0.co;2-u.,1998,0,Stat Med
Stat Med. 2002 Mar 15;21(5):649-61. doi: 10.1002/sim.1059.,2002,0,Stat Med
Stat Med. 1997 Dec 15;16(23):2679-700. doi: 10.1002/(sici)1097-0258(19971215)16:23<2679::aid-sim695>3.0.co;2-1.,1997,0,Stat Med
Stat Med. 2010 Dec 30;29(30):3088-102. doi: 10.1002/sim.4055.,2010,1,Stat Med
Stat Med. 1992 May;11(7):963-73. doi: 10.1002/sim.4780110713.,1992,0,Stat Med
Stat Med. 1996 Aug 15;15(15):1619-34. doi: 10.1002/(SICI)1097-0258(19960815)15:15<1619::AID-SIM326>3.0.CO;2-N.,1996,0,Stat Med
Stat Med. 1992 Jan 15;11(1):13-22. doi: 10.1002/sim.4780110104.,1992,0,Stat Med
Stat Med. 1996 Apr 15-May 15;15(7-9):765-82. doi: 10.1002/(sici)1097-0258(19960415)15:7/9<765::aid-sim248>3.0.co;2-n.,1996,0,Stat Med
Stat Med. 1999 Jun 15;18(11):1341-54. doi: 10.1002/(sici)1097-0258(19990615)18:11<1341::aid-sim129>3.0.co;2-7.,1999,0,Stat Med
Stat Med. 1993 Jul 15;12(13):1213-37. doi: 10.1002/sim.4780121304.,1993,0,Stat Med
Stat Med. 2013 Apr 15;32(8):1394-406. doi: 10.1002/sim.5635. Epub 2012 Sep 23.,2013,0,Stat Med
Stat Med. 2014 May 30;33(12):2004-16. doi: 10.1002/sim.6073. Epub 2013 Dec 13.,2014,0,Stat Med
Stat Med. 2010 Aug 30;29(19):2045-54. doi: 10.1002/sim.3949.,2010,0,Stat Med
Stat Med. 2001 Feb 15;20(3):401-16. doi: 10.1002/1097-0258(20010215)20:3<401::aid-sim801>3.0.co;2-1.,2001,0,Stat Med
Stat Med. 1993 Jul 30;12(14):1353-64. doi: 10.1002/sim.4780121407.,1993,0,Stat Med
Stat Med. 1995 Jul 30;14(14):1531-43. doi: 10.1002/sim.4780141404.,1995,0,Stat Med
Stat Med. 1994 Sep 15;13(17):1747-54. doi: 10.1002/sim.4780131706.,1994,0,Stat Med
Stat Med. 1997 Apr 30;16(8):941-9. doi: 10.1002/(sici)1097-0258(19970430)16:8<941::aid-sim546>3.0.co;2-9.,1997,0,Stat Med
Stat Med. 2002 Oct 30;21(20):3011-22. doi: 10.1002/sim.1255.,2002,0,Stat Med
Stat Med. 2007 Sep 30;26(22):4139-49. doi: 10.1002/sim.2859.,2007,0,Stat Med
Stat Med. 1998 Sep 15;17(17):1893-908. doi: 10.1002/(sici)1097-0258(19980915)17:17<1893::aid-sim878>3.0.co;2-r.,1998,0,Stat Med
Stat Med. 1999 Jul 30;18(14):1791-800; discussion 1801. doi: 10.1002/(sici)1097-0258(19990730)18:14<1791::aid-sim215>3.0.co;2-w.,1999,0,Stat Med
Stat Med. 1999 Jan 30;18(2):175-88. doi: 10.1002/(sici)1097-0258(19990130)18:2<175::aid-sim997>3.0.co;2-b.,1999,0,Stat Med
Stat Med. 2008 Sep 10;27(20):4132-43. doi: 10.1002/sim.3224.,2008,0,Stat Med
Stat Med. 2011 Jun 15;30(13):1489-501. doi: 10.1002/sim.3988. Epub 2011 Feb 3.,2011,0,Stat Med
Stat Med. 1994 Jun 15;13(11):1149-63. doi: 10.1002/sim.4780131106.,1994,0,Stat Med
Stat Med. 2014 Sep 10;33(20):3547-55. doi: 10.1002/sim.5702. Epub 2012 Dec 10.,2014,0,Stat Med
Stat Med. 1994 Mar 15-Apr 15;13(5-7):405-15. doi: 10.1002/sim.4780130505.,1994,0,Stat Med
Stat Med. 2001 Apr 15;20(7):989-1007. doi: 10.1002/sim.720.,2001,0,Stat Med
Stat Med. 2007 Mar 15;26(6):1237-54. doi: 10.1002/sim.2624.,2007,1,Stat Med
Stat Med. 1996 Nov 15-30;15(21-22):2289-305; discussion 2337-40. doi: 10.1002/(SICI)1097-0258(19961115)15:21<2289::AID-SIM449>3.0.CO;2-I.,1996,0,Stat Med
Stat Med. 1993 Jun 15;12(11):1063-78. doi: 10.1002/sim.4780121106.,1993,0,Stat Med
Stat Med. 1994 Jul 15-30;13(13-14):1297-312. doi: 10.1002/sim.4780131304.,1994,0,Stat Med
Stat Med. 1994 May 15;13(9):955-68. doi: 10.1002/sim.4780130906.,1994,0,Stat Med
Stat Med. 1998 Jun 15;17(11):1215-29. doi: 10.1002/(sici)1097-0258(19980615)17:11<1215::aid-sim844>3.0.co;2-y.,1998,0,Stat Med
Stat Med. 1992 Aug;11(11):1477-88. doi: 10.1002/sim.4780111106.,1992,0,Stat Med
Stat Med. 2009 Aug 15;28(18):2338-55. doi: 10.1002/sim.3622.,2009,0,Stat Med
Stat Med. 2001 Feb 15;20(3):341-9. doi: 10.1002/1097-0258(20010215)20:3<341::aid-sim796>3.0.co;2-g.,2001,0,Stat Med
Stat Med. 1998 Jun 15;17(11):1201-13. doi: 10.1002/(sici)1097-0258(19980615)17:11<1201::aid-sim845>3.0.co;2-7.,1998,0,Stat Med
Stat Med. 2005 Jul 15;24(13):1947-64. doi: 10.1002/sim.2077.,2005,0,Stat Med
Stat Med. 1998 Sep 15;17(17):1909-22. doi: 10.1002/(sici)1097-0258(19980915)17:17<1909::aid-sim890>3.0.co;2-0.,1998,0,Stat Med
Stat Med. 2008 Sep 10;27(20):4094-106. doi: 10.1002/sim.3222.,2008,0,Stat Med
Stat Med. 2007 Sep 10;26(20):3681-99. doi: 10.1002/sim.2831.,2007,1,Stat Med
Stat Med. 1997 Aug 30;16(16):1845-57. doi: 10.1002/(sici)1097-0258(19970830)16:16<1845::aid-sim605>3.0.co;2-g.,1997,0,Stat Med
Stat Med. 1995 Aug 30;14(16):1771-84. doi: 10.1002/sim.4780141606.,1995,1,Stat Med
Stat Med. 2000 Mar 30;19(6):837-48. doi: 10.1002/(sici)1097-0258(20000330)19:6<837::aid-sim394>3.0.co;2-3.,2000,0,Stat Med
Stat Med. 1995 Dec 15;14(23):2537-53. doi: 10.1002/sim.4780142304.,1995,0,Stat Med
Stat Med. 2003 Mar 15;22(5):811-27. doi: 10.1002/sim.1367.,2003,0,Stat Med
Stat Med. 1993 Jan 15;12(1):69-89. doi: 10.1002/sim.4780120108.,1993,0,Stat Med
Stat Med. 1994 Nov 15;13(21):2249-60. doi: 10.1002/sim.4780132106.,1994,1,Stat Med
Stat Med. 1993 May 15;12(9):835-42. doi: 10.1002/sim.4780120904.,1993,0,Stat Med
Stat Med. 1999 Aug 30;18(16):2177-88. doi: 10.1002/(sici)1097-0258(19990830)18:16<2177::aid-sim181>3.0.co;2-1.,1999,0,Stat Med
Stat Med. 1997 Jul 30;16(14):1587-601. doi: 10.1002/(sici)1097-0258(19970730)16:14<1587::aid-sim592>3.0.co;2-l.,1997,0,Stat Med
Stat Med. 1997 Dec 30;16(24):2873-82. doi: 10.1002/(sici)1097-0258(19971230)16:24<2873::aid-sim675>3.0.co;2-d.,1997,0,Stat Med
Stat Med. 1992 Jan 15;11(1):125-9. doi: 10.1002/sim.4780110111.,1992,0,Stat Med
Stat Med. 2003 May 30;22(10):1741-60. doi: 10.1002/sim.1375.,2003,1,Stat Med
Stat Med. 1996 Oct 15;15(19):2077-94. doi: 10.1002/(SICI)1097-0258(19961015)15:19<2077::AID-SIM348>3.0.CO;2-X.,1996,0,Stat Med
Stat Med. 1994 Jul 15-30;13(13-14):1313-27. doi: 10.1002/sim.4780131305.,1994,0,Stat Med
Stat Med. 1994 Jul 15-30;13(13-14):1415-21. doi: 10.1002/sim.4780131317.,1994,0,Stat Med
Stat Med. 2001 Apr 15;20(7):1009-21. doi: 10.1002/sim.718.,2001,0,Stat Med
Stat Med. 1999 Jul 15;18(13):1615-26. doi: 10.1002/(sici)1097-0258(19990715)18:13<1615::aid-sim161>3.0.co;2-6.,1999,0,Stat Med
Stat Med. 2001 Mar 15;20(5):661-84. doi: 10.1002/sim.711.,2001,0,Stat Med
Stat Med. 2004 Jul 15;23(13):2005-22. doi: 10.1002/sim.1817.,2004,0,Stat Med
Stat Med. 1999 Jul 15;18(13):1677-90. doi: 10.1002/(sici)1097-0258(19990715)18:13<1677::aid-sim154>3.0.co;2-n.,1999,0,Stat Med
Stat Med. 1993 Jan 30;12(2):129-42. doi: 10.1002/sim.4780120205.,1993,0,Stat Med
Stat Med. 1993 Feb;12(3-4):289-300. doi: 10.1002/sim.4780120312.,1993,0,Stat Med
Stat Med. 1995 Dec 15;14(23):2523-35. doi: 10.1002/sim.4780142303.,1995,0,Stat Med
Stat Med. 1992 Sep 30;11(13):1705-17. doi: 10.1002/sim.4780111305.,1992,0,Stat Med
Stat Med. 1996 Jul 15;15(13):1421-34. doi: 10.1002/(SICI)1097-0258(19960715)15:13<1421::AID-SIM266>3.0.CO;2-H.,1996,0,Stat Med
Stat Med. 1993 Jul 15;12(13):1185-95. doi: 10.1002/sim.4780121302.,1993,0,Stat Med
Stat Med. 1995 Jun 15;14(11):1205-18. doi: 10.1002/sim.4780141106.,1995,0,Stat Med
Stat Med. 2000 May 15;19(9):1179-89. doi: 10.1002/(sici)1097-0258(20000515)19:9<1179::aid-sim420>3.0.co;2-k.,2000,0,Stat Med
Stat Med. 1993 Nov 30;12(22):2147-51. doi: 10.1002/sim.4780122208.,1993,0,Stat Med
Stat Med. 2007 Feb 28;26(5):1150-69. doi: 10.1002/sim.2602.,2007,0,Stat Med
Stat Med. 1999 Oct 30;18(20):2775-94. doi: 10.1002/(sici)1097-0258(19991030)18:20<2775::aid-sim196>3.0.co;2-i.,1999,0,Stat Med
Stat Med. 1995 May 15-30;14(9-10):971-86. doi: 10.1002/sim.4780140917.,1995,0,Stat Med
Stat Med. 1999 Sep 15-30;18(17-18):2409-20. doi: 10.1002/(sici)1097-0258(19990915/30)18:17/18<2409::aid-sim265>3.0.co;2-8.,1999,0,Stat Med
Stat Med. 2005 Dec 30;24(24):3773-87. doi: 10.1002/sim.2409.,2005,0,Stat Med
Stat Med. 1999 Sep 15-30;18(17-18):2287-99. doi: 10.1002/(sici)1097-0258(19990915/30)18:17/18<2287::aid-sim255>3.0.co;2-d.,1999,0,Stat Med
Stat Med. 2000 Dec 30;19(24):3389-400. doi: 10.1002/1097-0258(20001230)19:24<3389::aid-sim826>3.0.co;2-z.,2000,0,Stat Med
Stat Med. 1993 Jul 30;12(14):1365-72. doi: 10.1002/sim.4780121408.,1993,0,Stat Med
Stat Med. 2004 Jan 30;23(2):315-26. doi: 10.1002/sim.1719.,2004,0,Stat Med
