Citation,Year,Indicator,Journal
J Clin Epidemiol. 2022 Dec;152:238-247. doi: 10.1016/j.jclinepi.2022.10.016. Epub 2022 Oct 27.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2015 Aug;68(8):950-6. doi: 10.1016/j.jclinepi.2014.12.018. Epub 2015 Mar 11.,2015,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Sep;149:23-35. doi: 10.1016/j.jclinepi.2022.05.006. Epub 2022 May 20.,2022,1,J Clin Epidemiol
J Clin Epidemiol. 2015 Aug;68(8):944-9. doi: 10.1016/j.jclinepi.2015.03.007. Epub 2015 Mar 21.,2015,0,J Clin Epidemiol
J Clin Epidemiol. 1992 May;45(5):553-60. doi: 10.1016/0895-4356(92)90105-v.,1992,0,J Clin Epidemiol
J Clin Epidemiol. 2017 Aug;88:102-112. doi: 10.1016/j.jclinepi.2017.05.018. Epub 2017 Jun 1.,2017,0,J Clin Epidemiol
J Clin Epidemiol. 2015 Jul;68(7):811-20. doi: 10.1016/j.jclinepi.2014.12.016. Epub 2015 Feb 7.,2015,0,J Clin Epidemiol
J Clin Epidemiol. 2013 Feb;66(2):197-201. doi: 10.1016/j.jclinepi.2012.09.002. Epub 2012 Nov 27.,2013,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2014 Oct;67(10):1070-5. doi: 10.1016/j.jclinepi.2014.05.015.,2014,0,J Clin Epidemiol
J Clin Epidemiol. 2011 Oct;64(10):1085-94. doi: 10.1016/j.jclinepi.2010.12.019. Epub 2011 May 6.,2011,0,J Clin Epidemiol
J Clin Epidemiol. 2019 Dec;116:84-97. doi: 10.1016/j.jclinepi.2019.08.008. Epub 2019 Aug 27.,2019,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2016 Jun;74:144-50. doi: 10.1016/j.jclinepi.2015.12.004. Epub 2015 Dec 29.,2016,0,J Clin Epidemiol
J Clin Epidemiol. 2019 Apr;108:10-16. doi: 10.1016/j.jclinepi.2018.12.008. Epub 2018 Dec 12.,2019,1,J Clin Epidemiol
J Clin Epidemiol. 2021 Mar;131:30-42. doi: 10.1016/j.jclinepi.2020.10.022. Epub 2020 Nov 6.,2021,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Sep;149:217-226. doi: 10.1016/j.jclinepi.2022.05.005. Epub 2022 May 21.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2020 Jun;122:108-114. doi: 10.1016/j.jclinepi.2020.01.019. Epub 2020 Feb 15.,2020,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2009 Jul;62(7):677-86. doi: 10.1016/j.jclinepi.2008.07.001. Epub 2009 Jan 4.,2009,0,J Clin Epidemiol
J Clin Epidemiol. 2018 Jun;98:89-97. doi: 10.1016/j.jclinepi.2018.02.023. Epub 2018 Mar 6.,2018,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2012 Nov;65(11):1190-9. doi: 10.1016/j.jclinepi.2012.03.014.,2012,0,J Clin Epidemiol
J Clin Epidemiol. 2007 Aug;60(8):766-72. doi: 10.1016/j.jclinepi.2006.11.008. Epub 2007 Mar 26.,2007,0,J Clin Epidemiol
J Clin Epidemiol. 2020 Apr;120:104-115. doi: 10.1016/j.jclinepi.2019.12.005. Epub 2019 Dec 3.,2020,0,J Clin Epidemiol
J Clin Epidemiol. 2008 Jun;61(6):609-10. doi: 10.1016/j.jclinepi.2007.07.012. Epub 2008 Feb 14.,2008,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2009 Nov;62(11):1196-201. doi: 10.1016/j.jclinepi.2009.01.007. Epub 2009 Apr 23.,2009,0,J Clin Epidemiol
J Clin Epidemiol. 2006 Jun;59(6):547-58. doi: 10.1016/j.jclinepi.2005.11.002. Epub 2006 Mar 15.,2006,0,J Clin Epidemiol
J Clin Epidemiol. 2007 Dec;60(12):1312-4. doi: 10.1016/j.jclinepi.2007.04.005. Epub 2007 Aug 24.,2007,0,J Clin Epidemiol
J Clin Epidemiol. 1992 Dec;45(12):1391-8. doi: 10.1016/0895-4356(92)90201-w.,1992,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Nov;151:132-142. doi: 10.1016/j.jclinepi.2022.08.001. Epub 2022 Aug 11.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2016 Jun;74:80-92. doi: 10.1016/j.jclinepi.2015.08.027. Epub 2015 Nov 17.,2016,0,J Clin Epidemiol
J Clin Epidemiol. 2012 Jun;65(6):610-8. doi: 10.1016/j.jclinepi.2011.10.017. Epub 2012 Mar 16.,2012,0,J Clin Epidemiol
J Clin Epidemiol. 2002 Aug;55(8):737-40. doi: 10.1016/s0895-4356(02)00406-7.,2002,0,J Clin Epidemiol
J Clin Epidemiol. 2015 Sep;68(9):1076-84. doi: 10.1016/j.jclinepi.2014.12.017. Epub 2015 Feb 7.,2015,0,J Clin Epidemiol
J Clin Epidemiol. 2003 Mar;56(3):221-9. doi: 10.1016/s0895-4356(02)00585-1.,2003,0,J Clin Epidemiol
J Clin Epidemiol. 2005 Jul;58(7):655-61. doi: 10.1016/j.jclinepi.2004.02.021. Epub 2005 Apr 18.,2005,0,J Clin Epidemiol
J Clin Epidemiol. 2007 Nov;60(11):1105-15. doi: 10.1016/j.jclinepi.2007.04.008. Epub 2007 Aug 23.,2007,1,J Clin Epidemiol
J Clin Epidemiol. 2014 Aug;67(8):947-51. doi: 10.1016/j.jclinepi.2014.03.007. Epub 2014 Apr 26.,2014,0,J Clin Epidemiol
J Clin Epidemiol. 2023 Aug;160:1-13. doi: 10.1016/j.jclinepi.2023.05.015. Epub 2023 May 27.,2023,0,J Clin Epidemiol
J Clin Epidemiol. 2023 Jul;159:190-198. doi: 10.1016/j.jclinepi.2023.05.019. Epub 2023 May 26.,2023,0,J Clin Epidemiol
J Clin Epidemiol. 2007 Jan;60(1):94-102. doi: 10.1016/j.jclinepi.2006.04.009. Epub 2006 Sep 28.,2007,0,J Clin Epidemiol
J Clin Epidemiol. 2017 Oct;90:108-118. doi: 10.1016/j.jclinepi.2017.07.002. Epub 2017 Jul 12.,2017,0,J Clin Epidemiol
J Clin Epidemiol. 2021 Dec;140:189-199. doi: 10.1016/j.jclinepi.2021.08.013. Epub 2021 Aug 18.,2021,0,J Clin Epidemiol
J Clin Epidemiol. 2018 Feb;94:76-84. doi: 10.1016/j.jclinepi.2017.10.004. Epub 2017 Oct 16.,2018,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jan;141:64-73. doi: 10.1016/j.jclinepi.2021.09.014. Epub 2021 Sep 11.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2001 Jan;54(1):23-9. doi: 10.1016/s0895-4356(00)00271-7.,2001,0,J Clin Epidemiol
J Clin Epidemiol. 2020 Aug;124:186-192. doi: 10.1016/j.jclinepi.2020.04.012. Epub 2020 Apr 18.,2020,0,J Clin Epidemiol
J Clin Epidemiol. 2000 Aug;53(8):852-62. doi: 10.1016/s0895-4356(00)00209-2.,2000,1,J Clin Epidemiol
J Clin Epidemiol. 2008 Jan;61(1):7-16. doi: 10.1016/j.jclinepi.2007.04.014. Epub 2007 Aug 23.,2008,0,J Clin Epidemiol
J Clin Epidemiol. 2008 Nov;61(11):1095-103. doi: 10.1016/j.jclinepi.2007.09.013.,2008,1,J Clin Epidemiol
J Clin Epidemiol. 2000 Aug;53(8):786-92. doi: 10.1016/s0895-4356(00)00206-7.,2000,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2014 Jun;67(6):622-8. doi: 10.1016/j.jclinepi.2013.10.019. Epub 2014 Feb 5.,2014,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 1999 Dec;52(12):1197-200. doi: 10.1016/s0895-4356(99)00125-0.,1999,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 1999 Nov;52(11):1103-9. doi: 10.1016/s0895-4356(99)00082-7.,1999,0,J Clin Epidemiol
J Clin Epidemiol. 2019 Mar;107:77-88. doi: 10.1016/j.jclinepi.2018.11.017. Epub 2018 Nov 28.,2019,0,J Clin Epidemiol
J Clin Epidemiol. 2019 May;109:30-41. doi: 10.1016/j.jclinepi.2018.12.015. Epub 2018 Dec 25.,2019,0,J Clin Epidemiol
J Clin Epidemiol. 2012 Mar;65(3):253-61. doi: 10.1016/j.jclinepi.2011.06.018. Epub 2011 Oct 19.,2012,0,J Clin Epidemiol
J Clin Epidemiol. 2017 Apr;84:61-69. doi: 10.1016/j.jclinepi.2016.12.009. Epub 2017 Jan 4.,2017,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Oct;150:126-141. doi: 10.1016/j.jclinepi.2022.06.021. Epub 2022 Jul 3.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2014 Aug;67(8):940-6. doi: 10.1016/j.jclinepi.2014.04.004. Epub 2014 May 14.,2014,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2005 Jun;58(6):543-9. doi: 10.1016/j.jclinepi.2004.10.019. Epub 2005 Apr 18.,2005,0,J Clin Epidemiol
J Clin Epidemiol. 2015 Jul;68(7):821-32. doi: 10.1016/j.jclinepi.2015.02.003. Epub 2015 Feb 14.,2015,0,J Clin Epidemiol
J Clin Epidemiol. 2012 Jun;65(6):590-601. doi: 10.1016/j.jclinepi.2011.12.005. Epub 2012 Mar 27.,2012,0,J Clin Epidemiol
J Clin Epidemiol. 2008 Nov;61(11):1085-94. doi: 10.1016/j.jclinepi.2008.04.008.,2008,0,J Clin Epidemiol
J Clin Epidemiol. 2017 Jan;81:86-95. doi: 10.1016/j.jclinepi.2016.09.007. Epub 2016 Sep 17.,2017,0,J Clin Epidemiol
J Clin Epidemiol. 2000 Feb;53(2):113-24. doi: 10.1016/s0895-4356(99)00133-x.,2000,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2023 Jul;159:344-345. doi: 10.1016/j.jclinepi.2023.05.009. Epub 2023 May 19.,2023,0,J Clin Epidemiol
J Clin Epidemiol. 2009 Feb;62(2):224-6. doi: 10.1016/j.jclinepi.2008.09.005.,2009,0,J Clin Epidemiol
J Clin Epidemiol. 2008 Oct;61(10):1049-55. doi: 10.1016/j.jclinepi.2007.11.012. Epub 2008 Jun 6.,2008,0,J Clin Epidemiol
J Clin Epidemiol. 2017 Aug;88:81-91. doi: 10.1016/j.jclinepi.2017.05.009. Epub 2017 May 19.,2017,0,J Clin Epidemiol
J Clin Epidemiol. 2015 Sep;68(9):1093-4. doi: 10.1016/j.jclinepi.2014.09.009. Epub 2014 Oct 5.,2015,0,J Clin Epidemiol
J Clin Epidemiol. 2020 Mar;119:26-35. doi: 10.1016/j.jclinepi.2019.11.009. Epub 2019 Nov 15.,2020,0,J Clin Epidemiol
J Clin Epidemiol. 2000 Jul;53(7):676-80. doi: 10.1016/s0895-4356(99)00203-6.,2000,1,J Clin Epidemiol
J Clin Epidemiol. 2007 Dec;60(12):1229-33. doi: 10.1016/j.jclinepi.2007.03.014. Epub 2007 Aug 24.,2007,0,J Clin Epidemiol
J Clin Epidemiol. 2012 May;65(5):544-52. doi: 10.1016/j.jclinepi.2011.08.014.,2012,0,J Clin Epidemiol
J Clin Epidemiol. 1997 Nov;50(11):1249-64. doi: 10.1016/s0895-4356(97)00169-8.,1997,0,J Clin Epidemiol
J Clin Epidemiol. 2006 Sep;59(9):914-9. doi: 10.1016/j.jclinepi.2005.12.014. Epub 2006 Jun 23.,2006,0,J Clin Epidemiol
J Clin Epidemiol. 1997 Jan;50(1):63-8. doi: 10.1016/s0895-4356(96)00300-9.,1997,0,J Clin Epidemiol
J Clin Epidemiol. 2019 Dec;116:9-17. doi: 10.1016/j.jclinepi.2019.07.011. Epub 2019 Jul 19.,2019,0,J Clin Epidemiol
J Clin Epidemiol. 2011 Feb;64(2):124-35. doi: 10.1016/j.jclinepi.2010.03.005. Epub 2010 Jun 17.,2011,0,J Clin Epidemiol
J Clin Epidemiol. 2018 Mar;95:128-136. doi: 10.1016/j.jclinepi.2017.11.026. Epub 2017 Dec 6.,2018,0,J Clin Epidemiol
J Clin Epidemiol. 2003 May;56(5):416-20. doi: 10.1016/s0895-4356(03)00031-3.,2003,0,J Clin Epidemiol
J Clin Epidemiol. 2007 Oct;60(10):1034-9. doi: 10.1016/j.jclinepi.2007.03.005. Epub 2007 Jul 25.,2007,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2020 Sep;125:108-119. doi: 10.1016/j.jclinepi.2020.05.019. Epub 2020 May 19.,2020,0,J Clin Epidemiol
J Clin Epidemiol. 1996 Dec;49(12):1359-62. doi: 10.1016/s0895-4356(96)00293-4.,1996,0,J Clin Epidemiol
J Clin Epidemiol. 2007 Aug;60(8):773-80. doi: 10.1016/j.jclinepi.2006.10.022. Epub 2007 Mar 26.,2007,0,J Clin Epidemiol
J Clin Epidemiol. 2020 Feb;118:69-85. doi: 10.1016/j.jclinepi.2019.09.025. Epub 2019 Oct 10.,2020,0,J Clin Epidemiol
J Clin Epidemiol. 2002 Nov;55(11):1082-7. doi: 10.1016/s0895-4356(02)00486-9.,2002,0,J Clin Epidemiol
J Clin Epidemiol. 2013 Aug;66(8):856-64. doi: 10.1016/j.jclinepi.2012.12.019.,2013,0,J Clin Epidemiol
J Clin Epidemiol. 2022 May;145:121-125. doi: 10.1016/j.jclinepi.2022.01.013. Epub 2022 Jan 23.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2017 Sep;89:67-76. doi: 10.1016/j.jclinepi.2017.02.018. Epub 2017 Mar 30.,2017,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Apr;144:22-42. doi: 10.1016/j.jclinepi.2021.12.005. Epub 2021 Dec 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2021 May;133:61-71. doi: 10.1016/j.jclinepi.2020.11.024. Epub 2020 Dec 13.,2021,0,J Clin Epidemiol
J Clin Epidemiol. 2011 Oct;64(10):1070-5. doi: 10.1016/j.jclinepi.2010.12.018. Epub 2011 Apr 6.,2011,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 1994 Jun;47(6):635-46. doi: 10.1016/0895-4356(94)90211-9.,1994,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2020 Jul;123:107-113. doi: 10.1016/j.jclinepi.2020.03.021. Epub 2020 Apr 4.,2020,0,J Clin Epidemiol
J Clin Epidemiol. 2002 Sep;55(9):882-7. doi: 10.1016/s0895-4356(02)00434-1.,2002,1,J Clin Epidemiol
J Clin Epidemiol. 2014 Apr;67(4):482-3. doi: 10.1016/j.jclinepi.2013.11.005.,2014,0,J Clin Epidemiol
J Clin Epidemiol. 2023 Nov 10:S0895-4356(23)00301-3. doi: 10.1016/j.jclinepi.2023.11.007. Online ahead of print.,2023,0,J Clin Epidemiol
J Clin Epidemiol. 2006 Aug;59(8):770-8. doi: 10.1016/j.jclinepi.2005.12.011. Epub 2006 May 30.,2006,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Aug;148:193-195. doi: 10.1016/j.jclinepi.2022.01.018. Epub 2022 Jan 31.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2004 Jan;57(1):75-81. doi: 10.1016/S0895-4356(03)00259-2.,2004,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2021 Jul;135:17-28. doi: 10.1016/j.jclinepi.2021.02.021. Epub 2021 Feb 28.,2021,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2017 Apr;84:37-46. doi: 10.1016/j.jclinepi.2016.11.012. Epub 2017 Jan 11.,2017,0,J Clin Epidemiol
J Clin Epidemiol. 2014 Aug;67(8):858-69. doi: 10.1016/j.jclinepi.2014.02.021. Epub 2014 Apr 26.,2014,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Dec;152:89-100. doi: 10.1016/j.jclinepi.2022.09.020. Epub 2022 Oct 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 1995 Mar;48(3):389-405. doi: 10.1016/0895-4356(94)00145-g.,1995,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jul;147:101-110. doi: 10.1016/j.jclinepi.2022.03.016. Epub 2022 Mar 25.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2006 Dec;59(12):1249-56. doi: 10.1016/j.jclinepi.2006.03.008. Epub 2006 Sep 11.,2006,0,J Clin Epidemiol
J Clin Epidemiol. 2017 Dec;92:116-125. doi: 10.1016/j.jclinepi.2017.08.003. Epub 2017 Aug 24.,2017,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2013 Jun;66(6):639-47. doi: 10.1016/j.jclinepi.2012.09.018. Epub 2013 Feb 6.,2013,0,J Clin Epidemiol
J Clin Epidemiol. 2023 Oct 21;164:35-44. doi: 10.1016/j.jclinepi.2023.10.012. Online ahead of print.,2023,0,J Clin Epidemiol
J Clin Epidemiol. 2020 Nov;127:59-68. doi: 10.1016/j.jclinepi.2020.06.039. Epub 2020 Jul 15.,2020,0,J Clin Epidemiol
J Clin Epidemiol. 2016 Sep;77:24-37. doi: 10.1016/j.jclinepi.2016.04.005. Epub 2016 Apr 29.,2016,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 1999 Jul;52(7):631-6. doi: 10.1016/s0895-4356(99)00048-7.,1999,0,J Clin Epidemiol
J Clin Epidemiol. 2014 Dec;67(12):1327-34. doi: 10.1016/j.jclinepi.2014.06.020. Epub 2014 Sep 26.,2014,0,J Clin Epidemiol
J Clin Epidemiol. 2007 Jan;60(1):1-7. doi: 10.1016/j.jclinepi.2006.04.002. Epub 2006 Aug 30.,2007,0,J Clin Epidemiol
J Clin Epidemiol. 1996 Oct;49(10):1161-9. doi: 10.1016/0895-4356(96)00178-3.,1996,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2008 May;61(5):415-8. doi: 10.1016/j.jclinepi.2007.06.004. Epub 2007 Oct 15.,2008,0,J Clin Epidemiol
J Clin Epidemiol. 1997 Feb;50(2):185-93. doi: 10.1016/s0895-4356(96)00331-9.,1997,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2017 Jan;81:3-12. doi: 10.1016/j.jclinepi.2016.08.004. Epub 2016 Aug 21.,2017,0,J Clin Epidemiol
J Clin Epidemiol. 2018 Mar;95:28-33. doi: 10.1016/j.jclinepi.2017.11.023. Epub 2017 Dec 6.,2018,0,J Clin Epidemiol
J Clin Epidemiol. 2018 Jun;98:9-15. doi: 10.1016/j.jclinepi.2018.02.001. Epub 2018 Feb 9.,2018,0,J Clin Epidemiol
J Clin Epidemiol. 2000 May;53(5):541-8. doi: 10.1016/s0895-4356(99)00153-5.,2000,0,J Clin Epidemiol
J Clin Epidemiol. 2015 Nov;68(11):1383-4. doi: 10.1016/j.jclinepi.2015.02.007. Epub 2015 Feb 21.,2015,0,J Clin Epidemiol
J Clin Epidemiol. 1994 May;47(5):525-36. doi: 10.1016/0895-4356(94)90299-2.,1994,0,J Clin Epidemiol
"J Clin Epidemiol. 2009 Mar;62(3):227-31, 231.e1-9. doi: 10.1016/j.jclinepi.2008.07.012. Epub 2008 Nov 14.",2009,0,J Clin Epidemiol
J Clin Epidemiol. 1993 Jul;46(7):667-8. doi: 10.1016/0895-4356(93)90043-z.,1993,0,J Clin Epidemiol
J Clin Epidemiol. 2023 Sep;161:65-73. doi: 10.1016/j.jclinepi.2023.06.023. Epub 2023 Jul 6.,2023,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2014 Sep;67(9):973-83. doi: 10.1016/j.jclinepi.2014.04.008. Epub 2014 Jun 25.,2014,0,J Clin Epidemiol
J Clin Epidemiol. 2019 Nov;115:90-97. doi: 10.1016/j.jclinepi.2019.07.007. Epub 2019 Jul 18.,2019,0,J Clin Epidemiol
J Clin Epidemiol. 2009 Jun;62(6):650-9. doi: 10.1016/j.jclinepi.2008.07.018. Epub 2008 Dec 23.,2009,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2005 Aug;58(8):753-6. doi: 10.1016/j.jclinepi.2004.12.006.,2005,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2000 Mar 1;53(3):229-35. doi: 10.1016/s0895-4356(99)00135-3.,2000,0,J Clin Epidemiol
J Clin Epidemiol. 2016 Apr;72:56-65. doi: 10.1016/j.jclinepi.2015.10.019. Epub 2015 Nov 18.,2016,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2023 Feb;154:75-84. doi: 10.1016/j.jclinepi.2022.12.005. Epub 2022 Dec 14.,2023,0,J Clin Epidemiol
J Clin Epidemiol. 2011 May;64(5):537-42. doi: 10.1016/j.jclinepi.2010.05.002. Epub 2010 Aug 30.,2011,0,J Clin Epidemiol
J Clin Epidemiol. 2006 Aug;59(8):779-83. doi: 10.1016/j.jclinepi.2005.08.022. Epub 2006 Jun 19.,2006,0,J Clin Epidemiol
J Clin Epidemiol. 2006 Dec;59(12):1326-30. doi: 10.1016/j.jclinepi.2006.03.011. Epub 2006 Aug 4.,2006,0,J Clin Epidemiol
J Clin Epidemiol. 1999 Jun;52(6):589-94. doi: 10.1016/s0895-4356(99)00019-0.,1999,0,J Clin Epidemiol
J Clin Epidemiol. 2019 Sep;113:11-19. doi: 10.1016/j.jclinepi.2019.04.020. Epub 2019 May 2.,2019,0,J Clin Epidemiol
J Clin Epidemiol. 2005 Jan;58(1):26-40. doi: 10.1016/j.jclinepi.2004.03.015.,2005,0,J Clin Epidemiol
J Clin Epidemiol. 2019 Apr;108:1-9. doi: 10.1016/j.jclinepi.2018.12.006. Epub 2018 Dec 10.,2019,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Feb;142:280-287. doi: 10.1016/j.jclinepi.2021.08.004. Epub 2021 Aug 9.,2022,1,J Clin Epidemiol
J Clin Epidemiol. 2020 Oct;126:202-206. doi: 10.1016/j.jclinepi.2020.06.023. Epub 2020 Jun 19.,2020,0,J Clin Epidemiol
J Clin Epidemiol. 2017 Jan;81:22-32. doi: 10.1016/j.jclinepi.2016.09.002. Epub 2016 Sep 10.,2017,0,J Clin Epidemiol
J Clin Epidemiol. 2009 Jul;62(7):716-24. doi: 10.1016/j.jclinepi.2008.09.007. Epub 2009 Jan 4.,2009,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 1994 Aug;47(8):851-62. doi: 10.1016/0895-4356(94)90188-0.,1994,0,J Clin Epidemiol
J Clin Epidemiol. 2016 Aug;76:99-107. doi: 10.1016/j.jclinepi.2016.02.023. Epub 2016 Mar 2.,2016,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Jun;146:77-85. doi: 10.1016/j.jclinepi.2022.02.015. Epub 2022 Mar 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2014 Oct;67(10):1093-102. doi: 10.1016/j.jclinepi.2014.05.013. Epub 2014 Jul 10.,2014,0,J Clin Epidemiol
J Clin Epidemiol. 2013 Aug;66(8 Suppl):S37-41. doi: 10.1016/j.jclinepi.2013.01.012.,2013,0,J Clin Epidemiol
J Clin Epidemiol. 2022 Feb;142:288-293. doi: 10.1016/j.jclinepi.2021.08.003. Epub 2021 Aug 8.,2022,0,J Clin Epidemiol
J Clin Epidemiol. 2005 Jan;58(1):1-12. doi: 10.1016/j.jclinepi.2004.04.008.,2005,0,J Clin Epidemiol
